Date,Headlines
"Thu, Jul. 18, 2019",Instagram test will hide like count
"Wed, Jul. 17, 2019",Waters calls for Facebook's Zuckerberg to come testify on Libra
"Tue, Jul. 16, 2019",Libra's Marcus handles wallet questions at Senate panel
"Tue, Jul. 16, 2019",Big Tech under fire on Capitol Hill
"Mon, Jul. 15, 2019","Target adds Facebook exec to lead tech infrastructure, operations"
"Mon, Jul. 15, 2019",Treasury Dept. has serious concerns over Libra - Mnuchin
"Mon, Jul. 15, 2019",Facebook says Libra won't launch until regulators satisfied
"Fri, Jul. 12, 2019",FTC approves near-$5B settlement with Facebook - WSJ
"Fri, Jul. 12, 2019",Twitch held 72% of Q2 live-streaming market
"Thu, Jul. 11, 2019",The president is a no-coiner
"Thu, Jul. 11, 2019",U.S. launches probe of French digital tax
"Wed, Jul. 10, 2019",Sun Valley confab arrives as media/tech consolidation rolls on
"Wed, Jul. 10, 2019",Fed has 'serious concerns' over Facebook Libra - Powell
"Wed, Jul. 10, 2019","Facebook looks to boost Oculus with acquisitions, VR deals - report"
"Wed, Jul. 10, 2019",Libra launch cannot be done 'alone' - Facebook
"Tue, Jul. 09, 2019","Apple, Amazon, Facebook, Google set to testify in House panel hearing"
"Tue, Jul. 09, 2019",Barclays affirms buying Facebook before earnings
"Mon, Jul. 08, 2019",Instagram rolls out anti-bullying tools
"Thu, Jul. 04, 2019",U.K. PM candidate Johnson seeks tax on tech giants - Reuters
"Thu, Jul. 04, 2019","Google, Facebook probed over U.K. ad market dominance"
"Tue, Jul. 02, 2019",Facebook facing antitrust look from EU - Bloomberg
"Fri, Jun. 28, 2019",Facebook target boosted on Libra potential
"Thu, Jun. 27, 2019",Facebook bull raises on revenue acceleration
"Wed, Jun. 26, 2019","Twitter, Facebook dip after Trump comments"
"Tue, Jun. 25, 2019",Facebook in talks for 1M square feet in Hudson Yards - report
"Tue, Jun. 25, 2019","Fed to set high bar for Facebook's Libra, Powell says"
"Tue, Jun. 25, 2019",Facebook launches issue ad transparency tools worldwide
"Tue, Jun. 25, 2019",Facebook to give France ID on users suspected of hate speech - Reuters
"Mon, Jun. 24, 2019",House panel sets hearing on Facebook currency
"Mon, Jun. 24, 2019",Facebook will face trial over 30M-user data breach
"Mon, Jun. 24, 2019",Senators pushing to force disclosure of tech user data value - Axios
"Thu, Jun. 20, 2019","India key to Facebook's currency dreams, Jefferies says"
"Wed, Jun. 19, 2019","Senate hearing shows political risk for Facebook, Cowen says"
"Wed, Jun. 19, 2019",Senate panel sets Facebook crypto hearing for July 16
"Wed, Jun. 19, 2019",AMLO pitches universal internet with Facebook
"Tue, Jun. 18, 2019",Support grows for hearings on Facebook's crypto plans
"Tue, Jun. 18, 2019",Facebook releases plan for Libra crypto
"Tue, Jun. 18, 2019",Facebook +2% ahead of crypto launch
"Mon, Jun. 17, 2019",SunTrust sees major move for Facebook in crypto plans
"Fri, Jun. 14, 2019",Facebook more than doubling ad spend - WSJ
"Thu, Jun. 13, 2019","Visa, Mastercard, PayPal, Uber on board Facebook cryptocurrency - WSJ"
"Thu, Jun. 13, 2019",Privacy concerns boot Facebook from S&P ESG index
"Thu, Jun. 13, 2019",Deutsche Bank sees Facebook streaming becoming $5B business
"Wed, Jun. 12, 2019","Facebook gathered sensitive data on 187,000 via app - TechCrunch"
"Wed, Jun. 12, 2019",Facebook -2% amid report emails connect CEO to questionable privacy approach
"Tue, Jun. 11, 2019",Facebook +1.7% as MoffettNathanson leaves sidelines
"Tue, Jun. 11, 2019",Big Tech on trial at House hearing
"Mon, Jun. 10, 2019",G20 to wrap up digital tax rules by 2020
"Fri, Jun. 07, 2019",Russian planning much bigger fines for tech firms - report
"Fri, Jun. 07, 2019",Facebook suspends app pre-installs on Huawei phones
"Thu, Jun. 06, 2019",Facebook crypto details to come in June 18 whitepaper - TechCrunch
"Wed, Jun. 05, 2019",Facebook plans outside foundation to run cryptocurrency - report
"Tue, Jun. 04, 2019","Facebook, Google see little risk from probes - Citi"
"Tue, Jun. 04, 2019",Big Tech faces Congressional probe
"Mon, Jun. 03, 2019",FTC to lead Facebook probes; DOJ has lead on Google
"Mon, Jun. 03, 2019",Facebook pushed for Irish tax breaks to offset EU increases - report
"Mon, Jun. 03, 2019",Facebook discusses crypto plans with CFTC
"Fri, May 31, 2019",Court directs Facebook to give shareholders records on breaches
"Fri, May 31, 2019",Facebook -1.3% loses EU privacy court bid
"Sun, May 26, 2019",Facebook will launch crypto in 2020 - BBC
"Fri, May 24, 2019",Facebook's multibillion-dollar FTC settlement delayed by split - WSJ
"Fri, May 24, 2019",Facebook removes nearly 3.4B fake accounts
"Fri, May 24, 2019","Facebook, Winklevoss held crypto talks"
"Thu, May 23, 2019",Instagram enables creators to use landscape video on IGTV
"Thu, May 23, 2019",Facebook ends commissions for political ad sales
"Mon, May 20, 2019",Instagram celebs' private data exposed in leak - TechCrunch
"Fri, May 17, 2019","Facebook sets up Swiss fintech for blockchain, payments"
"Fri, May 17, 2019",Facebook breakup would be last resort - EU regulator
"Thu, May 16, 2019",Facebook purges 'inauthentic' content originating in Israel
"Wed, May 15, 2019",Facebook introduces 'one-strike' policy
"Tue, May 14, 2019","Facebook roundup: Wages, spyware, breakup"
"Mon, May 13, 2019","Slack's prelim. Q1: $149.7M billings, $39.4M loss"
"Fri, May 10, 2019",Facebook sues South Korean analytics firm over practices
"Thu, May 09, 2019","Break up Facebook? Co-founder, senator say yes"
"Wed, May 08, 2019",Facebook to allow cross-border political ads in Europe - Politico
"Wed, May 08, 2019",London chosen as base for Whatsapp payment push
"Tue, May 07, 2019",Facebook's Sandberg meets lawmakers ahead of settlement
"Tue, May 07, 2019",Social media ad spending slowing - IAB
"Mon, May 06, 2019",Facebook updates video ranking; removes Russian accounts
"Fri, May 03, 2019",Facebook names new execs for Instagram - Cheddar
"Fri, May 03, 2019",Facebook building crypto payments system
"Thu, May 02, 2019","Facebook blocks Alex Jones, others from using services"
"Thu, May 02, 2019","Facebook, FTC discuss settlement with stricter privacy rules - Politico"
"Tue, Apr. 30, 2019","Facebook F8 kickoff: New app, site; Oculus preorders open"
"Tue, Apr. 30, 2019",DZ Bank boosts Facebook to a Buy
"Fri, Apr. 26, 2019","Slack reveals $401M rev, $139M loss before listing"
"Fri, Apr. 26, 2019","Facebook broke privacy laws by exposing user data, Canada says"
"Thu, Apr. 25, 2019",New York AG to probe Facebook's contact collection - NYT
"Thu, Apr. 25, 2019",UBS bullish on Facebook's ad potential
"Wed, Apr. 24, 2019",Facebook +5% as revenue beats in Q1 marked by legal expense
"Wed, Apr. 24, 2019","Facebook, Inc. beats by $0.27, beats on revenue"
"Wed, Apr. 24, 2019",Futures dip ahead of full earnings slate
"Tue, Apr. 23, 2019","Facebook, Inc. Q1 Earnings Preview"
"Tue, Apr. 23, 2019",Credit-card issuers boost social media pitches
"Tue, Apr. 23, 2019","Snap, Roku see gains after Twitter's surprising user strength"
"Mon, Apr. 22, 2019",Facebook taps State official as new general counsel
"Fri, Apr. 19, 2019",Zuckerberg in hot seat of FTC probe
"Thu, Apr. 18, 2019",Facebook boosts estimate of Instagrammers affected by password incident
"Thu, Apr. 18, 2019",Latest privacy misstep from Facebook
"Wed, Apr. 17, 2019",CNBC: Facebook building entry to voice assistants
"Tue, Apr. 16, 2019",Facebook gave preferential data access - NBC
"Mon, Apr. 15, 2019",Bullish Barclays says add Facebook before earnings
"Mon, Apr. 15, 2019","Another outage for Facebook, Instagram and WhatsApp"
"Fri, Apr. 12, 2019",Facebook's Zuckerberg gets 'pay bump' from new security
"Fri, Apr. 12, 2019",Netflix chief Hastings leaving Facebook's board
"Wed, Apr. 10, 2019",Facebook launches new wave of tools to combat problem content
"Tue, Apr. 09, 2019",Morgan Stanley raises Facebook target on monetization opportunity
"Mon, Apr. 08, 2019",Report: Facebook looking to VC funding for cryptocurrency
"Mon, Apr. 08, 2019",Facebook plans undersea cable around Africa
"Fri, Apr. 05, 2019",Facebook exec to appear on Capitol Hill
"Thu, Apr. 04, 2019",Facebook +1.6% as Guggenheim raises to Buy
"Wed, Apr. 03, 2019",Bloomberg: Facebook user records stored publicly on AWS servers
"Wed, Apr. 03, 2019",Facebook cannot promise interference-free EU elections
"Tue, Apr. 02, 2019",Facebook bull sees billions from Checkout
"Mon, Apr. 01, 2019",Facebook sees pushback on Zuckerberg's call for regulation
"Sun, Mar. 31, 2019",Too much power over speech? Facebook looks for remedies
"Fri, Mar. 29, 2019",Facebook tightens rules on EU political ads
"Thu, Mar. 28, 2019","Report: HUD also probing Google, Twitter over ad discrimination"
"Thu, Mar. 28, 2019",Facebook charged with Fair Housing Act violations
"Wed, Mar. 27, 2019",Facebook banning support of white nationalism/separatism on platforms
"Tue, Mar. 26, 2019",Final vote for EU's controversial copyright law
"Thu, Mar. 21, 2019",Amazon launching mobile ads challenging Google - Bloomberg
"Thu, Mar. 21, 2019",Report: Facebook stored user passwords unencrypted for years (updated)
"Thu, Mar. 21, 2019",Facebook looks to improve AI in wake of terror-attack video
"Tue, Mar. 19, 2019",Facebook apologizes for blocking WH aide; settles discrimination suits
"Tue, Mar. 19, 2019",Instagram adds in-app checkouts
"Tue, Mar. 19, 2019",More calls for a crackdown on social media
"Mon, Mar. 18, 2019",Facebook cut on privacy pivot concerns
"Fri, Mar. 15, 2019",Facebook's tech detects non-consensual intimate images
"Thu, Mar. 14, 2019","Facebook loses two more key execs: Product chief, WhatsApp head"
"Thu, Mar. 14, 2019","Microsoft, Facebook collab on co-packaged optics"
"Thu, Mar. 14, 2019","Facebook says outage caused by server change, now resolved"
"Thu, Mar. 14, 2019","Instagram back up, Facebook still sees outages"
"Thu, Mar. 14, 2019",Criminal probe into Facebook's data deals
"Wed, Mar. 13, 2019",Bloomberg: Facebook considers ad refunds for outage
"Wed, Mar. 13, 2019","Facebook suffering widespread outages; Instagram, Whatsapp also affected"
"Tue, Mar. 12, 2019","News Corp.: Pushing for Google breakup, eyeing Mergermarket buy"
"Tue, Mar. 12, 2019","Facebook makes changes to advertising, reach measures"
"Mon, Mar. 11, 2019",Nomura upgrades Facebook on Stories transition
"Fri, Mar. 08, 2019","Warren proposes tech giant breakups, oversight"
"Wed, Mar. 06, 2019",BuzzFeed: Facebook sees no path forward in China
"Wed, Mar. 06, 2019",Facebook's Zuckerberg outlines refocusing company around privacy
"Wed, Mar. 06, 2019","Facebook extends fiber reach, plans wholesale subsidiary"
"Tue, Mar. 05, 2019",Needham starts Alphabet at Buy
"Fri, Mar. 01, 2019",Facebook sues China-based firms over fake accounts
"Fri, Mar. 01, 2019",Facebook's Workplace has 2M paying users
"Thu, Feb. 28, 2019","NYT: Facebook, messaging apps working on digital coins for payment"
"Wed, Feb. 27, 2019",FTC considered blocking Instagram acquisition - NYP
"Wed, Feb. 27, 2019",Facebook 'clear history' tool coming in 2019
"Mon, Feb. 25, 2019",Facebook responds as Verge piece highlights moderator work conditions
"Sat, Feb. 23, 2019",Is Facebook fixing data privacy issues?
"Fri, Feb. 22, 2019",Facebook ends unpaid market research programs
"Wed, Feb. 20, 2019",Amazon's ad business will take from Google - report
"Wed, Feb. 20, 2019",Hedge funds loaded up on tech shares
"Tue, Feb. 19, 2019",European antitrust head: Facebook not a target for now
"Tue, Feb. 19, 2019",House panel demands Facebook response on health info exposure
"Tue, Feb. 19, 2019",Facebook planning to develop AI chips
"Mon, Feb. 18, 2019",Facebook 'open to meaningful regulation'
"Mon, Feb. 18, 2019",New Zealand next to plan digital tax
"Thu, Feb. 14, 2019",Report: FTC in talks with Facebook over record multibillion-dollar fine
"Thu, Feb. 14, 2019",Facebook has user threat BOLO list - CNBC
"Thu, Feb. 14, 2019",Alphabet replaces Amazon as Citi top pick
"Thu, Feb. 14, 2019",Copyright overhaul deal clinched in Europe
"Wed, Feb. 13, 2019",Japan eyes tighter regulations for Big Tech
"Tue, Feb. 12, 2019",California governor proposes data dividend
"Tue, Feb. 12, 2019",Calls for regulating online news content
"Fri, Feb. 08, 2019",Facebook acquires visual-shopping firm GrokStyle
"Fri, Feb. 08, 2019",Facebook rearranges sales execs around small/medium business
"Thu, Feb. 07, 2019",Facebook to appeal German order on changing user data approach
"Wed, Feb. 06, 2019",Facebook's top PR exec set to exit after eight years at company
"Mon, Feb. 04, 2019","AP, Facebook in fact-checking talks"
"Fri, Feb. 01, 2019",Report: Facebook discontinuing iOS mobile research program
"Fri, Feb. 01, 2019",Bloomberg: German ruling near on Facebook data collection
"Fri, Feb. 01, 2019",Facebook likely to face more state probes
"Thu, Jan. 31, 2019",Google now seeing internal disruption from Apple certificate issue
"Thu, Jan. 31, 2019","Facebook, Twitter take down more accounts linked to foreign operations"
"Thu, Jan. 31, 2019",Facebook extends post-earnings gain to 12%
"Wed, Jan. 30, 2019",Facebook +7.1% after profit jumps 61% for easy beat
"Wed, Jan. 30, 2019","Facebook beats by $0.20, beats on revenue"
"Wed, Jan. 30, 2019",TechCrunch: Google app may violate Apple policy like Facebook's does (updated)
"Wed, Jan. 30, 2019",Apple banning Facebook's info-sucking research app (updated)
"Wed, Jan. 30, 2019",Facebook pulls app that collected user data
"Tue, Jan. 29, 2019",Facebook Q4 2018 Earnings Preview
"Tue, Jan. 29, 2019",DOJ's Delrahim: Watching Facebook integration 'with interest'
"Mon, Jan. 28, 2019",Facebook reveals latest steps on independent oversight board
"Fri, Jan. 25, 2019",NYT: Zuckerberg pushing to integrate Facebook's messaging services
"Thu, Jan. 24, 2019",KeyBanc notes Instagram will drive Facebook revenues in 2019
"Thu, Jan. 24, 2019",Facebook sheds gains alongside report alleging account fakery
"Thu, Jan. 24, 2019","Digital Realty, Facebook in renewable energy virtual agreement"
"Wed, Jan. 23, 2019",Facebook's Sandberg: Zuckerberg needs to remain CEO/chairman
"Wed, Jan. 23, 2019","Amid rulemaking heat, big tech firms spend record amounts on lobbying"
"Sun, Jan. 20, 2019",Digital giants in crosshairs of EU tax
"Fri, Jan. 18, 2019",Report: FTC considers record fine against Facebook
"Fri, Jan. 18, 2019",Report: Facebook shifts hundreds to team working on AR glasses
"Thu, Jan. 17, 2019",WhatsApp readies fight against India over message tracking
"Thu, Jan. 17, 2019",Facebook removes Sputnik-linked accounts
"Tue, Jan. 15, 2019",Facebook investing $300M for local news survival
"Tue, Jan. 15, 2019",Buy Facebook ahead of earnings - Barclays
"Mon, Jan. 14, 2019",Facebook facing ban on some data-gathering in Germany
"Thu, Jan. 10, 2019",Amazon comes for Facebook's ad money - Cowen
"Wed, Jan. 09, 2019",Vietnam accuses Facebook of breaking cyber laws
"Wed, Jan. 09, 2019",Zuckerberg to explore role of technology in 2019
"Tue, Jan. 08, 2019",Facebook +2% as JPMorgan reiterates it as 'best idea'
"Tue, Jan. 08, 2019",Latest from CES 2019 in Las Vegas
"Mon, Jan. 07, 2019",Baird stays positive on Facebook as dramas subside
"Fri, Jan. 04, 2019",Reuters: Time for new captain at Facebook?
"Thu, Jan. 03, 2019",Facebook's Zuckerberg paused stock sales in rough fourth quarter
"Tue, Jan. 01, 2019",How will the FAANGs perform in 2019?
"Mon, Dec. 31, 2018",Analyst: Market needs FAANG to recover
"Sat, Dec. 29, 2018",Austria makes plans to tax digital giants
"Fri, Dec. 28, 2018","Zuckerberg says Facebook ""fundamentally"" altered its DNA"
"Fri, Dec. 28, 2018",Shutdown slows FTC's Facebook probe
"Fri, Dec. 28, 2018",NYT leaks Facebook moderation documents
"Thu, Dec. 27, 2018",Facebook: Bug caused Instagram feed change
"Wed, Dec. 26, 2018",Citron boosts Facebook; shares up 3.5%
"Mon, Dec. 24, 2018",Bias concerns kill new Facebook feature
"Mon, Dec. 24, 2018",Wedbush removes Facebook from Best Ideas
"Fri, Dec. 21, 2018","Facebook -5% on crypto plans, DZ Bank downgrade"
"Fri, Dec. 21, 2018",Facebook developing crypto for WhatsApp transfers - Bloomberg
"Thu, Dec. 20, 2018",FT: WhatsApp bans 130K accounts in 10 days
"Wed, Dec. 19, 2018",D.C. AG files suit against Facebook (update)
"Wed, Dec. 19, 2018",Another personal data scandal for Facebook (update)
"Mon, Dec. 17, 2018",France moves ahead with tech tax
"Mon, Dec. 17, 2018",Russia disinformation report calls out big tech
"Fri, Dec. 14, 2018",Facebook notifies developers about photo-sharing bug
"Fri, Dec. 14, 2018",Recode: Facebook wants in on pay TV
"Thu, Dec. 13, 2018",Facebook pushes back on story dinging fact-check program
"Thu, Dec. 13, 2018","Facebook: Watch has 400M monthly users, 75M daily users"
"Thu, Dec. 13, 2018",Report: Facebook cutting back some news video funding
"Wed, Dec. 12, 2018","Facebook, ZeniMax settle suit over Oculus VR tech"
"Tue, Dec. 11, 2018",Report: Japan to increase scrutiny of foreign big-data firms
"Tue, Dec. 11, 2018",Facebook testing search advertising as new revenue stream
"Tue, Dec. 11, 2018",Invesco QQQ ETF (QQQ) November Summary
"Mon, Dec. 10, 2018",U.S. stock markets mixed as Nasdaq edges up
"Mon, Dec. 10, 2018",Report: Zuckerberg turns to Microsoft's Smith for advice
"Fri, Dec. 07, 2018",Facebook adds $9B to stock buyback program
"Thu, Dec. 06, 2018",Facebook tests live shopping feature
"Thu, Dec. 06, 2018",France will tax digital giants from 2019
"Wed, Dec. 05, 2018",'Too many adversaries': Stifel cuts Facebook to Hold
"Wed, Dec. 05, 2018",Facebook board backs COO Sandberg on Soros approach
"Wed, Dec. 05, 2018",Facebook details strident response after UK document release
"Wed, Dec. 05, 2018","Facebook fights back on ""cherrypicked"" documents"
"Wed, Dec. 05, 2018",UK releases Facebook mails addressing prospect of selling data
"Wed, Dec. 05, 2018",EU ministers fail to agree on digital tax
"Mon, Dec. 03, 2018","FT: France, Germany plan digital tax compromise"
"Mon, Dec. 03, 2018",Reliance team-up paying off in India for Facebook via 'WhatsApp phones'
"Fri, Nov. 30, 2018",Report: Facebook hired Republican strategy firm
"Fri, Nov. 30, 2018",Facebook admits Sandberg requested Soros research
"Thu, Nov. 29, 2018",Facebook debated charging for user data access?
"Wed, Nov. 28, 2018",Rights groups press for secret docs in Facebook Messenger case
"Wed, Nov. 28, 2018",Facebook expands locally focused news feature
"Tue, Nov. 27, 2018","FTC hearing sees call for regulating Facebook, Google"
"Tue, Nov. 27, 2018",WhatsApp chief business officer latest exec to depart
"Tue, Nov. 27, 2018",European lawmakers slam no-show Zuckerberg at Facebook hearing
"Tue, Nov. 27, 2018",Amazon pushes hard in online ads
"Mon, Nov. 26, 2018",Facebook shutters crisis 'War Room'; Sandberg under fire
"Mon, Nov. 26, 2018",U.K. seizes Facebook internal papers
"Fri, Nov. 23, 2018",ESG screens start to take a bite
"Fri, Nov. 23, 2018",Open Society head wants Facebook oversight
"Thu, Nov. 22, 2018",Facebook hires top DOJ antitrust lawyer
"Wed, Nov. 21, 2018",Facebook publishes memo where policy chief owns up to PR firm hiring
"Wed, Nov. 21, 2018",Facebook appeals £500K fine in Britain over data scandal
"Wed, Nov. 21, 2018",Zuck won't step down as Facebook chairman
"Mon, Nov. 19, 2018",Facebook near 2-year low amid 'crisis'; has it hit 'AOL/Yahoo peak'?
"Mon, Nov. 19, 2018",WSJ: Zuckerberg aggressive with Facebook at war
"Fri, Nov. 16, 2018",Sonnenfeld: Facebook should replace 'dispensable' COO Sandberg
"Fri, Nov. 16, 2018","Facebook removed 1.6B fake accounts in Q2, Q3"
"Thu, Nov. 15, 2018",Microsoft alliance with Facebook signals shift in AI approach
"Thu, Nov. 15, 2018","FB board: We pushed execs to move faster, but criticism is unfair"
"Thu, Nov. 15, 2018",Facebook responds to NYT report
"Wed, Nov. 14, 2018","NYT probes Facebook's crisis response of 'delay, deny, deflect' (updated)"
"Wed, Nov. 14, 2018","Jana Partners adds Dollar Tree, Exact Sciences; exits ADT, Facebook, GreenSky"
"Wed, Nov. 14, 2018",WSJ: Morale at Facebook takes a hit in challenging year
"Tue, Nov. 13, 2018",DOJ's Delrahim speaks on antitrust approach in age of mergers
"Mon, Nov. 12, 2018",Instagram spurred Citron's Left to cover Facebook short
"Mon, Nov. 12, 2018",TechCrunch: Facebook working with France on moderation probe
"Thu, Nov. 08, 2018",Facebook updates on terror content; EU has no plan to probe taxes
"Thu, Nov. 08, 2018",Invesco QQQ ETF (QQQ) October Summary
"Thu, Nov. 08, 2018",Facebook quadrupling size of Dublin HQ
"Wed, Nov. 07, 2018",Facebook blocks accounts for Russia links; Zuckerberg to skip Canada-UK hearing
"Tue, Nov. 06, 2018",EU states divided over digital tax
"Tue, Nov. 06, 2018",Facebook boots 115 accounts on election eve
"Mon, Nov. 05, 2018","Moody's: Britain's digital tax would be ""credit negative"" for Alphabet, FB"
"Mon, Nov. 05, 2018",Trump weighs antitrust case on Big Tech
"Fri, Nov. 02, 2018",Traditional ad industry facing no shortage of Internet threats
"Wed, Oct. 31, 2018",CNBC: Facebook pulling Workplace offering into its own site
"Tue, Oct. 30, 2018","Facebook -1.9% with in-line revenues, slowing user growth"
"Tue, Oct. 30, 2018","Facebook beats by $0.30, misses on revenue"
"Tue, Oct. 30, 2018",Facebook earnings put FANGs in focus
"Mon, Oct. 29, 2018",Britain will target tech giants with digital tax in 2020
"Mon, Oct. 29, 2018",Tech giants may face billions in new taxes
"Fri, Oct. 26, 2018",Facebook removes politically charged content from Iran
"Fri, Oct. 26, 2018",Reuters: Facebook finds more Iranian disinformation activity
"Thu, Oct. 25, 2018",Facebook debuts new election tools with vote nearing
"Thu, Oct. 25, 2018",Tech giants seek assurances over Brexit
"Wed, Oct. 24, 2018","Facebook amps up music links in Stories, News Feed"
"Wed, Oct. 24, 2018",Facebook at EU conference: It's privacy over profit
"Wed, Oct. 24, 2018",Apple set to back strong privacy laws
"Tue, Oct. 23, 2018",Facebook revamps Messenger app to add simplicity
"Mon, Oct. 22, 2018",Oppenheimer names its picks for Facebook's cybersecurity buy
"Mon, Oct. 22, 2018",Oculus co-founder exits Facebook amid exec tensions
"Mon, Oct. 22, 2018",Piper's fall survey: Instagram beats Snap in teen use
"Mon, Oct. 22, 2018",Report: Facebook wants to buy major cybersecurity company
"Sun, Oct. 21, 2018",Germany urges tax minimum for tech giants
"Fri, Oct. 19, 2018",Oculus showing more NBA games in VR; WhatsApp bans in Brazil
"Fri, Oct. 19, 2018",Facebook hires former UK deputy PM to head global affairs
"Wed, Oct. 17, 2018",Funds back proposal removing Zuckerberg as Facebook chairman
"Wed, Oct. 17, 2018",Facebook charged with hiding video ad measurement problems
"Tue, Oct. 16, 2018",Report: Facebook plans camera device for TVs
"Tue, Oct. 16, 2018",Facebook +0.8% as Rosenblatt starts at Buy in long-term look
"Mon, Oct. 15, 2018","Reuters: Facebook tightens ban on inaccurate polling, voting information"
"Fri, Oct. 12, 2018",Nikkei: Japan probes Facebook data security
"Fri, Oct. 12, 2018",Facebook: Just 30M affected in September security issue
"Thu, Oct. 11, 2018",Facebook removes more content; disinformation gets more homegrown
"Thu, Oct. 11, 2018",Tech lunch break: Recovering from the fall
"Thu, Oct. 11, 2018","Early premarket losers include SQ, AMZN, NFLX"
"Wed, Oct. 10, 2018",Facebook's WhatsApp had video call security bug
"Wed, Oct. 10, 2018",Snap launches Originals daily shows
"Tue, Oct. 09, 2018","EU privacy regulators ready to fine, temporarily ban data offenders"
"Mon, Oct. 08, 2018",WSJ: Google didn't disclose spring Google Plus breach
"Mon, Oct. 08, 2018",Facebook dips as Credit Suisse reels in expectations
"Mon, Oct. 08, 2018",Invesco QQQ ETF (QQQ) September Summary
"Mon, Oct. 08, 2018",Facebook launches Portal smart speakers with eye on video calls
"Mon, Oct. 08, 2018",Playing a split Congress
"Fri, Oct. 05, 2018",Sequoia Fund added to Facebook stake in Q3
"Fri, Oct. 05, 2018",Instagram tests sharing user location data with Facebook
"Thu, Oct. 04, 2018",Variety: Facebook plans move into location-based VR
"Thu, Oct. 04, 2018",Wells Fargo sees optimism for AT&T ad business
"Thu, Oct. 04, 2018",Facebook may face $1.6B fine over data breach
"Wed, Oct. 03, 2018","In test for GDPR, Ireland opens probe into Facebook security issue"
"Wed, Oct. 03, 2018",Instagram back up after global outage
"Tue, Oct. 02, 2018","Facebook adds new video features, anti-bullying tools"
"Tue, Oct. 02, 2018",Deutsche Bank sees heightened risks for Facebook into 2019
"Mon, Oct. 01, 2018",Instagram officially puts Mosseri in charge
"Sun, Sep. 30, 2018",Facebook could face $1.6B fine in Europe over data breach: WSJ
"Fri, Sep. 28, 2018",Reuters: Attempt to force Facebook Messenger wiretap fails
"Fri, Sep. 28, 2018",Facebook -2.6% after disclosing security problem
"Thu, Sep. 27, 2018","Facebook gains on DAU metrics, admits to phone number ad targeting"
"Wed, Sep. 26, 2018",Oculus to launch new Quest wireless headset in spring for $399
"Wed, Sep. 26, 2018",Big spotlight to stay on Big Tech
"Tue, Sep. 25, 2018","Without co-founders, Instagram likely to see tighter ties to parent Facebook"
"Tue, Sep. 25, 2018","States, DOJ meet today about social media platform concerns"
"Tue, Sep. 25, 2018","Snap-Amazon partnership: Reasons, and prospects for more"
"Mon, Sep. 24, 2018",NYT: Instagram co-founders resign from Facebook; shares down 2.5%
"Mon, Sep. 24, 2018",Report: Mohan taking over as Facebook's chief in India
"Sat, Sep. 22, 2018",Upcoming White House probe of tech giants?
"Fri, Sep. 21, 2018",BMO Overweight on 'attractive' new Communications sector
"Thu, Sep. 20, 2018",ETFs will need to trade more than $20B to reflect revamped indexes: WSJ
"Thu, Sep. 20, 2018",Facebook faces deadline on EU consumer rules
"Wed, Sep. 19, 2018",IBM launches bias-detection service for AI
"Wed, Sep. 19, 2018","EMarketer: Amazon will pass Oath, Microsoft in 2018 digital ad sales"
"Tue, Sep. 18, 2018","ACLU charges Facebook, 10 employers with job-ad discrimination"
"Mon, Sep. 17, 2018",Instagram gives global launch to shopping push
"Sat, Sep. 15, 2018",Study: Facebook's fake-news fight making a difference
"Thu, Sep. 13, 2018","Facebook expands fact-checking effort to photos, videos"
"Wed, Sep. 12, 2018",European Parliament backs tougher copyright rules
"Wed, Sep. 12, 2018",Sessions weighs probe of social media giants
"Wed, Sep. 12, 2018",Europe votes on tougher copyright rules
"Tue, Sep. 11, 2018",RBC goes Underweight on new S&P Communications group
"Fri, Sep. 07, 2018","""Project Runway"" stars Klum, Gunn head to Amazon"
"Fri, Sep. 07, 2018",Invesco QQQ ETF (QQQ) August Summary
"Fri, Sep. 07, 2018",More on Facebook's blockchain team
"Thu, Sep. 06, 2018","Tech giants, semis lead 1% decline for Nasdaq"
"Thu, Sep. 06, 2018",Facebook to build first Asian data center
"Wed, Sep. 05, 2018",BofA reiterates Facebook Buy on Instagram shopping promise
"Wed, Sep. 05, 2018",Twitter -5% as Dorsey testifies to Senate panel
"Wed, Sep. 05, 2018",Facebook sues BlackBerry over mobile patents including messaging
"Wed, Sep. 05, 2018",Germany denies backing down on tech giant taxes
"Wed, Sep. 05, 2018",Big tech to testify before Senate
"Tue, Sep. 04, 2018",Report: Instagram building stand-alone shopping app
"Tue, Sep. 04, 2018",Amazon's deeper push into the $88B online ad market
"Tue, Sep. 04, 2018",MoffettNathanson steps to Facebook sidelines on revenue deceleration
"Sun, Sep. 02, 2018",Upcoming index shakeup has broad implications - Barron's
"Fri, Aug. 31, 2018",Net veteran: Look to Netflix as route to solve social media ills
"Thu, Aug. 30, 2018",Google's Titan Key gets general release; Trump sends mixed signals on regulation
"Wed, Aug. 29, 2018",Facebook Watch goes global
"Wed, Aug. 29, 2018",FAANG short positions +42% in past year
"Wed, Aug. 29, 2018",Facebook powered by renewable energy
"Tue, Aug. 28, 2018",Trump: Tech giants 'better be careful'
"Tue, Aug. 28, 2018","Instagram adds features for security, verification"
"Tue, Aug. 28, 2018",84% of companies dabbling in blockchain
"Mon, Aug. 27, 2018",Germany plans action on Facebook this year
"Mon, Aug. 27, 2018","Facing new rules, techs press for federal privacy law"
